variety,precio,puntos
Pugnitello,49.0,88.0
Marawi,35.0,88.0
Sciaccerellu,21.0,88.0
Trincadeira,23.0,88.0
Avesso,16.333333333333332,88.0
Bovale,30.0,88.0
Erbaluce,35.0,88.0
Edelzwicker,17.5,88.0
Fumé Blanc,22.08888888888889,88.0
Syrah-Cabernet Franc,69.0,88.0
Tamjanika,18.0,88.0
Emir,15.0,88.0
Lambrusco Salamino,18.5,88.0
Carcajolu,21.0,88.0
Prié Blanc,24.5,88.0
Piquepoul Blanc,13.0,88.0
Muscat d'Alexandrie,16.0,88.0
Gouveio,19.0,88.0
Marselan,34.0,88.0
Frankovka,24.0,88.0
Thrapsathiri,25.0,88.0
Tempranillo-Tannat,20.0,88.0
Muscat Hamburg,22.0,88.0
Moscatel Graúdo,13.0,88.0
Ojaleshi,18.0,88.0
Papaskarasi,20.0,88.0
Touriga Franca,23.0,88.0
Nuragus,16.0,88.0
Carmenère-Cabernet Sauvignon,29.166666666666668,88.0
Pinot Blanc,21.737113402061855,87.97333333333333
Viognier,26.622,87.9403578528827
Sparkling Blend,29.699708454810494,87.90502283105023
Verdicchio,22.140845070422536,87.90277777777777
Zinfandel,29.82916053019146,87.90234948604993
Malbec,28.716966379984363,87.88208269525268
Traminer,23.0,87.875
Antão Vaz,19.571428571428573,87.85714285714286
Malagousia,19.285714285714285,87.85714285714286
Gamay,20.77857142857143,87.85635359116021
Garganega,21.50413223140496,87.80405405405405
Touriga Nacional-Cabernet Sauvignon,13.928571428571429,87.8
Posip,25.8,87.8
Pallagrello Bianco,27.5,87.75
Nascetta,25.0,87.75
Orange Muscat,21.583333333333332,87.75
Vermentino,22.01851851851852,87.73387096774194
Nero di Troia,32.5,87.72727272727273
Castelão,15.0625,87.70588235294117
Tocai Friulano,27.77777777777778,87.7
Friulano,21.9811320754717,87.7
Saperavi,18.1875,87.6875
Vranec,16.0,87.66666666666667
Sousão,35.666666666666664,87.66666666666667
Roussanne-Marsanne,24.0,87.66666666666667
Barbera,25.600638977635782,87.62603878116343
Tempranillo,30.498876404494382,87.61820199778025
Jacquère,16.384615384615383,87.61538461538461
Cabernet Sauvignon-Merlot,28.338709677419356,87.60317460317461
Tinta Barroca,26.5,87.6
Merlot-Cabernet,12.8,87.6
Loureiro,12.75,87.6
Verdelho,23.214285714285715,87.58823529411765
Ribolla Gialla,26.08,87.56603773584905
Albariño,20.991416309012877,87.55982905982906
Cabernet Sauvignon-Malbec,54.888888888888886,87.55555555555556
Plavac Mali,37.54545454545455,87.54545454545455
Shiraz-Cabernet Sauvignon,21.2,87.51851851851852
Pallagrello,35.2,87.5
Treixadura,16.5,87.5
Códega do Larinho,18.0,87.5
Pinot Auxerrois,26.5,87.5
Incrocio Manzoni,24.5,87.5
Lemberger,22.1875,87.5
Casavecchia,51.5,87.5
Uva di Troia,29.833333333333332,87.5
Aleatico,41.333333333333336,87.5
Claret,36.142857142857146,87.5
Mantonico,27.25,87.5
Prieto Picudo,37.0,87.5
Sauvignon Blanc,20.333603896103895,87.48574775478329
Nero d'Avola,23.6,87.4679802955665
Negrette,21.22222222222222,87.44444444444444
Agiorgitiko,24.34375,87.4375
Aragonez,17.75,87.42857142857143
Pinotage,24.691176470588236,87.40845070422536
Kekfrankos,35.0,87.4
Frappato,20.764705882352942,87.4
Meritage,35.3768115942029,87.36690647482014
White Blend,22.71689497716895,87.35505430242273
Nosiola,27.333333333333332,87.33333333333333
Grolleau,39.333333333333336,87.33333333333333
Manzoni,23.0,87.33333333333333
Sauvignon Blanc-Chardonnay,19.5,87.33333333333333
Tocai,17.333333333333332,87.33333333333333
Chenin Blanc-Viognier,12.0,87.33333333333333
Monastrell,21.155844155844157,87.32467532467533
Muscat Canelli,17.9375,87.3125
Tinta Roriz,26.833333333333332,87.28571428571429
Narince,22.75,87.25
Mauzac,17.25,87.25
Merlot-Malbec,35.0,87.25
Grillo,17.71698113207547,87.2463768115942
Falanghina,20.424242424242426,87.23255813953489
Merlot,29.35877364644488,87.23225806451613
Merlot-Cabernet Sauvignon,36.75,87.22222222222223
Fernão Pires,21.88235294117647,87.21739130434783
Muskat Ottonel,15.083333333333334,87.21428571428571
Trebbiano,22.785714285714285,87.21052631578948
Cesanese d'Affile,17.2,87.2
Feteascǎ Regalǎ,10.4,87.2
Glera,20.31290322580645,87.19786096256685
Arneis,20.0,87.13636363636364
Pecorino,20.94736842105263,87.125
Tinto del Pais,28.75,87.08333333333333
Godello,19.857142857142858,87.05555555555556
Dolcetto,21.885057471264368,87.03296703296704
Bombino Nero,11.0,87.0
Tsolikouri,14.0,87.0
Sangiovese-Syrah,50.0,87.0
Bombino Bianco,30.0,87.0
Pinot Blanc-Chardonnay,23.0,87.0
Canaiolo,17.0,87.0
Souzao,24.0,87.0
Alicante,27.0,87.0
Kangoun,14.0,87.0
Chardonnay-Pinot Blanc,25.0,87.0
Chardonnay-Riesling,24.0,87.0
Poulsard,25.0,87.0
Chardonnay-Sauvignon,15.0,87.0
Irsai Oliver,13.0,87.0
Rebo,19.0,87.0
Groppello,23.0,87.0
Muscatel,19.0,87.0
Müller-Thurgau,20.210526315789473,87.0
Moscato Giallo,25.571428571428573,87.0
Kadarka,20.0,87.0
Marsanne-Roussanne,30.727272727272727,87.0
Malbec-Cabernet Franc,26.666666666666668,87.0
Picpoul,18.0,87.0
